name,latitude,longitude
B.S.Sacklecha Hospital And Trauma Centre,23.172951,77.460498
Orthocare Hospital,23.1709998,77.4281443
Kanha Maternity & Child Care Hospital,23.196031,77.434562
Mishra Hospital,23.165835,77.415595
Mount Hospital Bhopal,23.194218,77.473807
L.G.M. Hospital,23.163029,77.46877
Dulaar Children Hospital,23.153644,77.474917
Shree Vinayak Hospital,23.1847754,77.4201867
Colony Care Multi-Speciality Hospital,23.2149023,77.433355
Jainmshree Hospital,23.2120918,77.4309133
V Care Children Hospital,23.1720945,77.4233654
Siddhanta Hospital,23.171339,77.425342
Ojas Hospital,23.195543,77.4657937
Sks Hospital Bhopal,23.131535,77.4084467
RBM Advanced Eye Hospital,23.209026,77.418302
University Hospital,23.202278,77.45071
Swasth Hospital,23.201299,77.4466394
Shri Siddhi Vinayak Miracles Hospital,23.191201,77.432685
Bhopal City Hospital,23.1623654,77.4693157
Krishna Hospital,23.186688,77.435336
Central Reserve Police Force - Composite Hospital,23.1387028,77.5354616
bansal hospital,23.213384,77.396377
Astha Hospital,23.21118,77.432444
LN Medical Collage and J.K Hospital,23.177274,77.428247
Dr Kamlesh Talesara,23.199468,77.414268
Shalya Joint Care Hospital,23.1978545,77.4301604
Divya Hospital,23.163756,77.41431
Matratva Hospital,23.187859,77.41736
rkdf hospital,23.185204,77.450875
Bhabha General Hospital,23.173442,77.471741
Shri Satya Sai Hospital,23.202132,77.446307
Ubbuntu Heart Hospital,23.1722091,77.4590072
Galaxy hospital,23.171374,77.422264
The Glory Skin Clinic,23.199138,77.447214
Shivalaya Hospital,23.1587783,77.428613
All Care Hospital,23.253359,77.4264
Sant Hirdaram Yoga and Nature cure Hospital,23.266028,77.339174
Jamna Hospital,23.252763,77.486122
Cmas Koh E Fiza Hospital,23.264925,77.380524
Unani Hospital,23.2521287,77.4041094
Silver Line Hospital,23.263746,77.393839
Maheshwari Hospital,23.277062,77.372306
Paras Hospital,23.2632152,77.39392
Nandan Hospital,23.2500507,77.4169728
Metro Multispeciality & Fracture Hospital,23.238589,77.4959018
Madhavbaug cardiac clinic,23.276649,77.37255
Maxcare Hospital,23.258056,77.3957463
Gayatri Hospital And Trauma Centre,23.249134,77.488308
Hayat Hospital,23.2697662,77.4074972
Srijan Hospital,23.255325,77.435997
Colony Hospital,23.221097,77.434557
Zindagi Hospital,23.269603,77.467351
Thyrocare Centre,23.2195151,77.4826762
Gas Rahat Hospital,23.253862,77.4311342
Bhopal Memorial & Gas Rahat Hospital,23.2668298,77.4200427
MP Hospital Bhopal,23.2514169,77.4599857
Ballabh ENT Hospital,23.2633324,77.3992566
Mehko Hospital,23.251139,77.41259
Hindustan Hospital,23.2615613,77.428758
Gayatri Hospital Anand Nagar,23.2504261,77.48461
Batra Hospital,23.2337463,77.4347058
Care Infinity Hospital,23.2737457,77.3668008
Pulse hospital,23.2604152,77.4053093
M J Hospital,23.250024,77.4881688
career hospital,23.2314706,77.4504262
Shree Shubh Hospital,23.2498466,77.441712
Sakshi co-operative hospital,23.2280354,77.4864343
Darbari Hospital,23.2705381,77.4015169
Hope s s hospital,23.257513,77.478446
Mona Hospital,23.253224,77.433678
aashirwad multispeciality hospital,23.222251,77.484838
Shubh Hospital,23.2655073,77.4726603
Parulkar Hospitals,23.220139,77.430376
R.K. Hospital and Research Centre (A Unit of R.K Healthcare),23.252527,77.466163
Central Hospital & Research Center,23.2646039,77.3941763
"Arnav Hospital, Bhopal",23.252094,77.504064
Unique Hospital,23.2635646,77.3938354
ECHS Polyclinic,23.276895,77.33363
Nagpur Hospital,23.25137,77.503047
Dolphin Children Hospital,23.261919,77.46257
Rudransh Multispeciality Hospital,23.250681,77.502513
Vaishno Hospital bhopal,23.2380758,77.4962629
T B Hospital,23.2750528,77.3781166
Indira Gandhi Hospital,23.2610396,77.4010633
Police Hospital,23.2465243,77.4113718
G.S.M. Hospital,23.2337404,77.3959966
Tripti Hospital,23.273679,77.370737
